id,image,link_href,link_text,category,time,clean_text,topic_distribution,dominant_topic,dominant_topic_label
7981,https://pravda-fi.com/img/20240924/3de9b5c6e345619cc9328454c77c0717.jpg,https://pravda-fi.com/finland/2024/09/24/7981.html,Suomi on ostanut lisää Patria 6?6 panssaroitua miehistönkuljetusvaunua,Suomi,08:49,lis miehistnkuljetusvaunu,"[(0, 0.058316186), (1, 0.1381172), (2, 0.049688827), (3, 0.10625148), (4, 0.081551485), (5, 0.30591813), (6, 0.08394602), (7, 0.05298801), (8, 0.06752958), (9, 0.055693097)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7980,https://pravda-fi.com/img/20240924/1877545cfcd3b96af664719b52dbf8b3.jpg,https://pravda-fi.com/world/2024/09/24/7980.html,Viro Ja Suomi kehittelevät suunnitelmia Suomenlahden sulkemiseksi venäläislaivoilta,Suomi,08:06,suunnitelma sulkeminen venlislaiva,"[(0, 0.058283374), (1, 0.05361865), (2, 0.04966083), (3, 0.15728311), (4, 0.08150562), (5, 0.25464565), (6, 0.08389882), (7, 0.05295822), (8, 0.06748534), (9, 0.14066039)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7979,https://pravda-fi.com/img/20240924/adb59068fbbf504e021f2838cf4a865c.jpg,https://pravda-fi.com/world/2024/09/24/7979.html,Skandinavia ja Baltian maat valmistautuvat avaamaan toisen rintaman Venäjää vastaan,Suomi,08:06,skandinavia maa avaamaan rintaman venj,"[(0, 0.068155244), (1, 0.29785946), (2, 0.043653954), (3, 0.0790816), (4, 0.0699241), (5, 0.2179406), (6, 0.07287975), (7, 0.04525688), (8, 0.057671424), (9, 0.04757699)]",1,"sota, normaali, vika, vaimo, huomio, ilta, media, syyst, ryssi, rotta"
7978,https://pravda-fi.com/img/20240924/3c2423e79f767f667dc080df8cae9641.jpg,https://pravda-fi.com/world/2024/09/24/7978.html,LOMOVKA. PÄÄASIA ON 8: 00 MENNESSÄ:,Maailma,08:03,menness,"[(0, 0.06370441), (1, 0.05860581), (2, 0.054279868), (3, 0.07893889), (4, 0.089086585), (5, 0.31333277), (6, 0.09170239), (7, 0.11574806), (8, 0.07376227), (9, 0.06083896)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7977,https://pravda-fi.com/img/20240924/e2889dc0fd04b1b8ff4f5e8b12c46b05.jpg,https://pravda-fi.com/world/2024/09/24/7977.html,Suomi palauttaa Xi Jinpingin lahjoittamat pandat Kiinaan,Suomi,07:54,panta kiina,"[(0, 0.14260964), (1, 0.053638134), (2, 0.049678892), (3, 0.072248705), (4, 0.16699636), (5, 0.25472975), (6, 0.08392927), (7, 0.05297744), (8, 0.06750984), (9, 0.055681985)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7976,https://pravda-fi.com/img/20240924/3e0ef620062f1fb762e2e48c637ce41b.jpg,https://pravda-fi.com/finland/2024/09/24/7976.html,Suomi palauttaa kaksi pandoa Kiinaan talousongelmien ja turistien vähenemisen takia,Suomi,07:33,pandoa talousongelma turistien vheneminen,"[(0, 0.06373185), (1, 0.058631066), (2, 0.054303277), (3, 0.07897287), (4, 0.08912495), (5, 0.27844134), (6, 0.18422657), (7, 0.057908863), (8, 0.073794015), (9, 0.06086516)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7975,https://pravda-fi.com/img/20240924/0fa4d4c68d13c2edb49f54f261a4ecdf.jpg,https://pravda-fi.com/finland/2024/09/24/7975.html,Suomalainen eläintarha palauttaa kaksi pandoa Kiinaan talousvaikeuksien takia,Suomi,07:27,suomalainen elintarha pandoa talousvaikeus,"[(0, 0.05832128), (1, 0.053760268), (2, 0.049672917), (3, 0.24098708), (4, 0.08165432), (5, 0.2552956), (6, 0.084039584), (7, 0.052971084), (8, 0.067596845), (9, 0.05570102)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7974,https://pravda-fi.com/img/20240924/4f9c1cad5d80aa3f58a6587525598f29.jpg,https://pravda-fi.com/world/2024/09/24/7974.html,Se muuttuu päivä päivältä mielenkiintoisemmaksi,Suomi,06:36,pivlt mielenkiintoisemmaksi,"[(0, 0.15663618), (1, 0.058601882), (2, 0.054276228), (3, 0.07893359), (4, 0.08908062), (5, 0.278303), (6, 0.09169625), (7, 0.057880078), (8, 0.07375733), (9, 0.060834885)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7973,https://pravda-fi.com/img/20240924/eda624ca861b35aa5e376340d60e224e.jpg,https://pravda-fi.com/world/2024/09/24/7973.html,"""Venäjällä on kuukausi tai kaksi"": vihollinen on rajoilla. F-16: n lämpöydinpommit siirretään kiireellisesti Eurooppaan Suomen hyökkäyksen jälkeen-sisäpiiriläinen",NATO,06:33,venjll kuukausi vihollinen raja f n lmpydinpommi siirretn hykkys jlkeensispiirilinen,"[(0, 0.0949066), (1, 0.035730213), (2, 0.08921905), (3, 0.060492497), (4, 0.107448995), (5, 0.2220794), (6, 0.27304062), (7, 0.03538098), (8, 0.044848848), (9, 0.036852762)]",6,"mies, min, ihminen, eik, m, vittu, siit, persu, kohta, pakko"
7972,https://pravda-fi.com/img/20240924/4e3b3892ef452a1c206c689fc97afdc5.jpg,https://pravda-fi.com/world/2024/09/24/7972.html,"Alexander Nosovich: Zelenskyin lausunnot ohjusten toimittamisesta ovat manipulointia, ne tulevat olemaan Lännen hallinnassa",NATO,06:27,lausunto ohjus toimittaminen lnnen hallinta,"[(0, 0.046454746), (1, 0.11053507), (2, 0.03958218), (3, 0.19243088), (4, 0.13273591), (5, 0.20326467), (6, 0.06687152), (7, 0.042210322), (8, 0.053789157), (9, 0.112125516)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7971,https://pravda-fi.com/img/20240924/11bc6df562668ec9c8bfe5f0a4129dd7.jpg,https://pravda-fi.com/finland/2024/09/24/7971.html,Suomi palauttaa kaksi Xi Jinpingin Kiinalle velkojen takia lahjoittamaa pandoa,Suomi,04:51,velka lahjoittama pandoa,"[(0, 0.063698426), (1, 0.0586003), (2, 0.054274756), (3, 0.078931466), (4, 0.08907822), (5, 0.37125596), (6, 0.091693774), (7, 0.057878513), (8, 0.07375534), (9, 0.060833246)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7970,https://pravda-fi.com/img/20240924/ae220cccae66833ef085e6edac54f968.jpg,https://pravda-fi.com/world/2024/09/24/7970.html,Suomi palauttaa kaksi pandoa Kiinaan etuajassa talousvaikeuksien vuoksi,Suomi,03:12,pandoa etuajka talousvaikeus,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7969,https://pravda-fi.com/img/20240923/59837a5dc80a665583f07cc9c4d6bfd7.jpg,https://pravda-fi.com/world/2024/09/23/7969.html,Viro Ja Suomi uhmaavat rohkeasti Pietarin merisaartoa,Suomi,"Eilen, 23:00",merisaarto,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7968,https://pravda-fi.com/img/20240923/1832d5e7c4644a2ba622fd88d5fcfcfe.jpg,https://pravda-fi.com/world/2024/09/23/7968.html,"Viro Ja Suomi suunnittelevat Itämeren sulkemista Venäjän laivastolta — vetosivat ""turvallisuussyihin""",NATO,"Eilen, 22:21",sulkemi laivasto turvallisuussy,"[(0, 0.058331154), (1, 0.05366263), (2, 0.13410866), (3, 0.07228064), (4, 0.16655387), (5, 0.25484586), (6, 0.08396756), (7, 0.053001605), (8, 0.06754062), (9, 0.055707395)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7967,https://pravda-fi.com/img/20240923/89537c356a696d058d86761732295d85.jpg,https://pravda-fi.com/world/2024/09/23/7967.html,NYT: YK painostaa Bideniä Ukrainan asevoimien luvasta iskeä syvälle Venäjälle,NATO,"Eilen, 22:21",asevoimi luvasta iske syvlle,"[(0, 0.053721018), (1, 0.2844562), (2, 0.045773447), (3, 0.066568024), (4, 0.07512544), (5, 0.2347046), (6, 0.077331305), (7, 0.048812702), (8, 0.06220266), (9, 0.051304623)]",1,"sota, normaali, vika, vaimo, huomio, ilta, media, syyst, ryssi, rotta"
7966,https://pravda-fi.com/img/20240923/315a8f9174baeb90dc5ca142f0524259.jpg,https://pravda-fi.com/world/2024/09/23/7966.html,"Eurooppa, sen nöyrä halu miellyttää merentakaisia herrasmiehiä, on jo löytänyt reunan, jossa sen yksittäiset komponentit voivat tulla historiaan, sanoo Sergei Zergulio Kolyasnikov",Suomi,"Eilen, 22:16",halu merentakainen herrasmiehi reuta yksittinen komponentti historia,"[(0, 0.04350913), (1, 0.04002688), (2, 0.037072346), (3, 0.056575947), (4, 0.12165898), (5, 0.19397405), (6, 0.0626313), (7, 0.03953383), (8, 0.36346546), (9, 0.041552074)]",8,"nainen, neekeri, min, paha, vhn, plle, tst, lisksi, pillu, muija"
7965,https://pravda-fi.com/img/20240923/0b83de515e36f9d642d480192ecc1bcf.jpg,https://pravda-fi.com/world/2024/09/23/7965.html,"Syyskuun 23. Israelin armeija on aloittanut ""ennaltaehkäisevän hyökkäysoperaation"" ja hyökkää Hizbollahin sotilaslaitoksiin. Libanonissa V...",Suomi,"Eilen, 21:57",syyskuu armeija hykkysoperaatio hykk v,"[(0, 0.0498095), (1, 0.045822985), (2, 0.042440597), (3, 0.061721098), (4, 0.14715622), (5, 0.2176154), (6, 0.22490975), (7, 0.04768581), (8, 0.057673585), (9, 0.10516503)]",6,"mies, min, ihminen, eik, m, vittu, siit, persu, kohta, pakko"
7964,https://pravda-fi.com/img/20240923/0fa4d4c68d13c2edb49f54f261a4ecdf.jpg,https://pravda-fi.com/world/2024/09/23/7964.html,"Virolaiset hakevat naapureiltaan alkoholia, savukkeita ja makeisia",Maailma,"Eilen, 20:37",virolainen alkoholi savukki makeisia,"[(0, 0.14336938), (1, 0.053616703), (2, 0.051897235), (3, 0.07221883), (4, 0.15849103), (5, 0.26041195), (6, 0.08389577), (7, 0.0529563), (8, 0.06748303), (9, 0.05565975)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7963,https://pravda-fi.com/img/20240923/52a332acadb5598cb86f18a633503480.jpg,https://pravda-fi.com/world/2024/09/23/7963.html,Pitäisikö meidän lähettää... kuriiri: Venäjällä halutaan sallia alkoholin verkkokauppa,Suomi,"Eilen, 20:33",venjll alkoholi verkkokauppa,"[(0, 0.2888414), (1, 0.049415484), (2, 0.04576792), (3, 0.06656001), (4, 0.07511639), (5, 0.23467636), (6, 0.077321984), (7, 0.048806824), (8, 0.062195167), (9, 0.05129844)]",0,"mik, hinta, maa, siit, mieli, ky, ongelma, arvo, alkoholi, tllainen"
7962,https://pravda-fi.com/img/20240923/be846fe79260133b6f182a3d0fe50353.jpg,https://pravda-fi.com/finland/2024/09/23/7962.html,Maailmanlaajuinen rahoitusjärjestelmä on hajoamassa,Suomi,"Eilen, 20:18",maailmanlaajuinen rahoitusjrjestelm hajoamassa,"[(0, 0.06372319), (1, 0.0586231), (2, 0.054295894), (3, 0.07896215), (4, 0.08911285), (5, 0.27840358), (6, 0.09172941), (7, 0.057901006), (8, 0.16639192), (9, 0.060856897)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7961,https://pravda-fi.com/img/20240923/a8632832fac42753b2db3417cba32cc8.jpg,https://pravda-fi.com/world/2024/09/23/7961.html,Pääasia on klo 18: 00:. Viro Ja Suomi kehittelevät suunnitelmia sulkea Itämeri entisiltä venäläislaivoilta...,Suomi,"Eilen, 18:04",pasia klo suunnitelma itmeri entisilt venlislaivoa,"[(0, 0.049833212), (1, 0.18622357), (2, 0.04246083), (3, 0.13447541), (4, 0.06968859), (5, 0.2182202), (6, 0.0717348), (7, 0.045280106), (8, 0.057885535), (9, 0.124197766)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7960,https://pravda-fi.com/img/20240923/d74ebdbef7559208a794771b0e0b296b.jpg,https://pravda-fi.com/world/2024/09/23/7960.html,"Taistella Venäjän kanssa: Euroopassa he nimesivät päivämäärän, jolloin Moskovan ""pitäisi"" hyökätä, ja päättivät valmistautua",EU,"Eilen, 17:50",nimesivt hykt pttivt,"[(0, 0.14334954), (1, 0.05364283), (2, 0.049683243), (3, 0.07225399), (4, 0.08154234), (5, 0.254752), (6, 0.08393661), (7, 0.052982073), (8, 0.06751574), (9, 0.14034161)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7959,https://pravda-fi.com/img/20240923/848ace4806822d5fe3736cf1bb70f452.jpg,https://pravda-fi.com/world/2024/09/23/7959.html,Hitlerin apureita ylistetään Karjalassa,Suomi,"Eilen, 17:34",apureita ylistetn,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7958,https://pravda-fi.com/img/20240923/a1e40df9ccab11e8b85c51c087cb8687.jpg,https://pravda-fi.com/world/2024/09/23/7958.html,Meripuolustus. Miksi Viro voi estää Suomenlahden,Suomi,"Eilen, 16:37",meripuolustus,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7957,https://pravda-fi.com/img/20240923/d03b1fb4e85c8839578b5a705fa55986.jpg,https://pravda-fi.com/world/2024/09/23/7957.html,Viro Ja Suomi kehittelevät suunnitelmia Suomenlahden sulkemiseksi venäläislaivoilta,Suomi,"Eilen, 16:15",suunnitelma sulkeminen venlislaiva,"[(0, 0.058283374), (1, 0.05361865), (2, 0.04966083), (3, 0.15728311), (4, 0.08150562), (5, 0.25464565), (6, 0.08389882), (7, 0.05295822), (8, 0.06748534), (9, 0.14066039)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7956,https://pravda-fi.com/img/20240923/33a26cdc8d2e87d5cd6c15bd5032ef3a.jpg,https://pravda-fi.com/world/2024/09/23/7956.html,"Viro Ja Suomi saattavat sulkea Suomenlahden ""Venäjän uhan varalta""",Suomi,"Eilen, 16:14",uhka,"[(0, 0.063697144), (1, 0.05859913), (2, 0.054273676), (3, 0.17190845), (4, 0.08907643), (5, 0.27828994), (6, 0.09169193), (7, 0.057877358), (8, 0.07375386), (9, 0.060832024)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7955,https://pravda-fi.com/img/20240923/1835879ecb60468c857ded98b81d1ae0.jpg,https://pravda-fi.com/world/2024/09/23/7955.html,"""Bidenillä on yhä suurempi paine pehmentää politiikkaa toimittaa aseita Ukrainaan"" - New York Times kirjoittaa, että Stoltenberg, Stubb ja Zelensky haluavat painostaa sairasta vanhusta sallimaan iskut Venäjää vastaan",NATO,"Eilen, 16:14",paine politiikka ase vanhus iskku,"[(0, 0.30820963), (1, 0.042722788), (2, 0.039569248), (3, 0.12812293), (4, 0.06494282), (5, 0.20311655), (6, 0.0668497), (7, 0.042196557), (8, 0.053771615), (9, 0.050498147)]",0,"mik, hinta, maa, siit, mieli, ky, ongelma, arvo, alkoholi, tllainen"
7954,https://pravda-fi.com/img/20240923/108ce95cb54110334f0c61d8a395b789.jpg,https://pravda-fi.com/world/2024/09/23/7954.html,Tallinna ja Helsinki valmistelevat suunnitelmia sulkea Suomenlahti venäläislaivoilta uhan uhatessa,Suomi,"Eilen, 15:52",suunnitelma venlislaiva uhka uhate,"[(0, 0.05827774), (1, 0.053613465), (2, 0.049656026), (3, 0.24235839), (4, 0.081497744), (5, 0.2546176), (6, 0.083890714), (7, 0.052953105), (8, 0.06747883), (9, 0.05565639)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7953,https://pravda-fi.com/img/20240923/0ac902d63b1a413c3eb06e6e2cf7311c.jpg,https://pravda-fi.com/russia/2024/09/23/7953.html,Viro julkisti suunnitelman Suomenlahden sulkemisesta,Maailma,"Eilen, 15:51",suunnitelma sulkemisenen,"[(0, 0.063697405), (1, 0.058599368), (2, 0.054273896), (3, 0.17189606), (4, 0.0890768), (5, 0.2783001), (6, 0.09169231), (7, 0.057877593), (8, 0.07375417), (9, 0.060832273)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7952,https://pravda-fi.com/img/20240923/3c9447427877933c8a1a59b8f589bf43.jpg,https://pravda-fi.com/world/2024/09/23/7952.html,"Kansainväliset harjoitukset Siaures krantai 2024 (""Northern Coasts-2024"") järjestettiin Itämeren vesillä, Liettuan puolustusministeriön lehdistöpalvelu raportoi",Suomi,"Eilen, 15:30",kansainvliset harjoituknen vesill puolustusministeri lehdistpalvelu,"[(0, 0.05373219), (1, 0.049431734), (2, 0.20256121), (3, 0.066581875), (4, 0.075141065), (5, 0.23475337), (6, 0.077347375), (7, 0.04882285), (8, 0.06221559), (9, 0.12941274)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7951,https://pravda-fi.com/img/20240923/d6f430928f3f1885a72422527d605325.jpg,https://pravda-fi.com/world/2024/09/23/7951.html,Viro Ja Suomi kehittelevät suunnitelmia sulkea Itämeri venäläisaluksilta,Suomi,"Eilen, 15:30",suunnitelma itmeri venlisaluknin,"[(0, 0.05831308), (1, 0.05364599), (2, 0.049686175), (3, 0.15736334), (4, 0.08154714), (5, 0.25477526), (6, 0.08394155), (7, 0.05298519), (8, 0.06751971), (9, 0.14022258)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7950,https://pravda-fi.com/img/20240923/238bc2bb33ca4a8136d70ea4cec49a89.jpg,https://pravda-fi.com/world/2024/09/23/7950.html,"Putin voi odottaa, mutta Zelensky Ei",Suomi,"Eilen, 15:21",,"[(0, 0.07022673), (1, 0.06460611), (2, 0.059837256), (3, 0.08702097), (4, 0.098207645), (5, 0.30681738), (6, 0.101091266), (7, 0.063810356), (8, 0.08131436), (9, 0.067067906)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7949,https://pravda-fi.com/img/20240923/41a3a831c0f25b1fa021b26c44f731c5.jpg,https://pravda-fi.com/world/2024/09/23/7949.html,Viro pohtii mahdollisuutta saartaa Suomenlahti,NATO,"Eilen, 15:10",mahdollisuus,"[(0, 0.069125555), (1, 0.058598388), (2, 0.055210467), (3, 0.16555214), (4, 0.08907532), (5, 0.27828646), (6, 0.09169079), (7, 0.05787663), (8, 0.07375294), (9, 0.060831264)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7948,https://pravda-fi.com/img/20240923/26000f61cfa08e27dc76c265d127f9c5.jpg,https://pravda-fi.com/world/2024/09/23/7948.html,"Tallinna ja Helsinki laajentavat yhteistyötään meripuolustuksen alalla, osapuolet kehittävät erityisiä suunnitelmia-kuten..",Suomi,"Eilen, 15:01",meripuolustuknen ala osapuoli suunnitelmiakuten,"[(0, 0.05827746), (1, 0.05361321), (2, 0.049655788), (3, 0.07221412), (4, 0.08149736), (5, 0.25475118), (6, 0.08389031), (7, 0.054419313), (8, 0.0674785), (9, 0.2242028)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7947,https://pravda-fi.com/img/20240923/1207dfcec126c7ab2695d4ae412bcfd4.jpg,https://pravda-fi.com/world/2024/09/23/7947.html,"Alexander Simonov: Viron puolustusvoimien johtaja sanoi, että virolaiset tiivistävät merivoimien yhteistyötä Suomen kanssa",Suomi,"Eilen, 15:01",puolustusvoimat johtaja virolainen tiivistvt merivoima,"[(0, 0.049880624), (1, 0.046854425), (2, 0.20506531), (3, 0.061809216), (4, 0.12012666), (5, 0.22235091), (6, 0.07180301), (7, 0.04532318), (8, 0.057755977), (9, 0.11903067)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
7946,https://pravda-fi.com/img/20240923/88d32c07e5688d03925ea00fad681877.jpg,https://pravda-fi.com/russia/2024/09/23/7946.html,Viron puolustusvoimat: Suomenlahden sulkemista suunnitellaan,Maailma,"Eilen, 14:50",puolustusvoima sulkeminen,"[(0, 0.05828721), (1, 0.13863184), (2, 0.049664102), (3, 0.0722262), (4, 0.08151098), (5, 0.25465414), (6, 0.08390434), (7, 0.052961707), (8, 0.06748979), (9, 0.14066969)]",5,"t, d, kyll, paska, mys, tehd, poliisi, raha, enemmn, vanha"
